model,m,selection,session,task,kind,classes_seen,new_classes,accuracy,balanced_accuracy,f1_macro,f1_weighted,G_Mean,n,HR@1,MRR@1,HR@3,MRR@3,HR@5,MRR@5,RMSE_dr,MAE_dr,n_dr,RPD,minutes
resnet18,20,herding,2,T2_ODIR,class-incremental,7,Glaucoma,0.4117647058823529,0.5254748476206987,0.4335257098991785,0.3808603240949153,0.4590657433776072,1394,0.4117647058823529,0.4117647058823529,0.8780487804878049,0.6307986609277857,0.930416068866571,0.6425992348158776,0.7891812323819287,0.4122807017543859,342,0.5754638660799347,0.44
resnet18,20,herding,3,T2_ODIR,class-incremental,8,Cataract,0.521557719054242,0.553394780062709,0.4261137913390351,0.5661930636121267,0.491350286713575,1438,0.521557719054242,0.521557719054242,0.8873435326842837,0.6784886416318961,0.9624478442280946,0.6964302271673621,0.9970014925003392,0.592814371257485,334,0.4143398686135904,0.4
resnet18,20,herding,4,T2_ODIR,class-incremental,9,AMD,0.2850372376438727,0.5197490966480969,0.4118999766699948,0.3000186940590703,0.4059882772129199,1477,0.2850372376438727,0.2850372376438727,0.7481381178063643,0.4935680433310765,0.8801624915368991,0.5248138117806365,0.8571791513802559,0.4359756097560975,328,0.5224456496877443,0.42
resnet18,20,herding,5,T2_ODIR,class-incremental,10,Hypertension,0.032258064516129,0.1874081561671231,0.0847426350179159,0.0245351858324176,0.0,1488,0.032258064516129,0.032258064516129,0.6908602150537635,0.318100358422939,0.92002688172043,0.3711581541218637,0.8660254037844386,0.75,16,0.8493849899438974,0.39
resnet18,20,herding,6,T2_ODIR,class-incremental,11,Myopia,0.3001310615989515,0.5002385650615652,0.3392749017101939,0.3182955216595603,0.4408670307384998,1526,0.3001310615989515,0.3001310615989515,0.5714285714285714,0.418086500655308,0.7699868938401049,0.4638925294888597,0.9775252199076788,0.6063492063492063,315,0.5344454173070815,0.47
resnet18,20,herding,7,T2_ODIR,class-incremental,12,Other,0.3235653235653236,0.4838439674436131,0.3687375966557111,0.2584601448155922,0.0,1638,0.3235653235653236,0.3235653235653236,0.5268620268620269,0.4107651607651607,0.6532356532356532,0.4396113146113146,0.7790796969048502,0.3582089552238806,402,0.5865915203368701,0.7
resnet18,20,herding,8,T3_LAG,domain-incremental,12,,0.6776556776556777,0.5923983244487275,0.557118094967816,0.7002744417561731,0.5386736970336878,1638,0.6776556776556777,0.6776556776556777,0.86996336996337,0.7641432641432641,0.9322344322344324,0.7786731786731786,0.7952986860293433,0.3575,400,0.331434728851065,2.08
resnet18,20,herding,9,T4_HAM,class-incremental,13,Actinic Keratoses,0.6686425607587433,0.6269904274369692,0.5695318022249356,0.6814341495911028,0.5627074949899541,1687,0.6686425607587433,0.6686425607587433,0.8743331357439241,0.7605216360403082,0.950207468879668,0.7778897451096621,0.7875228934401258,0.3557692307692308,416,0.2678355586338191,0.6
resnet18,20,herding,10,T4_HAM,class-incremental,14,Basal Cell Carcinoma,0.6660997732426304,0.6351530169557306,0.5833526810163724,0.6787235986956448,0.5969727820960302,1764,0.6660997732426304,0.6660997732426304,0.8837868480725624,0.764644746787604,0.953514739229025,0.7808578987150416,0.7602951929926987,0.3341463414634146,410,0.3108319350122267,0.73
resnet18,20,herding,11,T4_HAM,class-incremental,15,Benign Keratosis,0.654045643153527,0.5832214010403975,0.5429687181916364,0.6595380270818901,0.5289963708185902,1928,0.654045643153527,0.654045643153527,0.8983402489626556,0.7626210235131397,0.9626556016597512,0.7774291147994467,0.7702079842374077,0.3365617433414044,413,0.3741176964510035,1.06
